"","ShipName","ShipAddress","ShipCity","ShipPostalCode","ShipCountry","CustomerID","CustomerName","Address","City","Country","Salesperson","OrderID","OrderDate","RequiredDate","ShipperName","ProductID","ProductName","UnitPrice","Quantity","Discount","ExtendedPrice","Freight","total_sales"
"29","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","5022","Venezuela","HILAA","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Venezuela","Margaret Peacock",10257,1996-07-16,1996-08-13,"Federal Shipping",77,"Original Frankfurter grüne Soße",10.4,15,0,156,81.91,156
"30","Ernst Handel","Kirchgasse 6","Graz","8010","Austria","ERNSH","Ernst Handel","Kirchgasse 6","Graz","Austria","Nancy Davolio",10258,1996-07-17,1996-08-14,"Speedy Express",2,"Chang",15.2,50,0.200000002980232,608,140.51,760
"31","Ernst Handel","Kirchgasse 6","Graz","8010","Austria","ERNSH","Ernst Handel","Kirchgasse 6","Graz","Austria","Nancy Davolio",10258,1996-07-17,1996-08-14,"Speedy Express",5,"Chef Anton's Gumbo Mix",17,65,0.200000002980232,884,140.51,1105
"32","Ernst Handel","Kirchgasse 6","Graz","8010","Austria","ERNSH","Ernst Handel","Kirchgasse 6","Graz","Austria","Nancy Davolio",10258,1996-07-17,1996-08-14,"Speedy Express",32,"Mascarpone Fabioli",25.6,6,0.200000002980232,122.88,140.51,153.6
"33","Centro comercial Moctezuma","Sierras de Granada 9993","México D.F.","05022","Mexico","CENTC","Centro comercial Moctezuma","Sierras de Granada 9993","México D.F.","Mexico","Margaret Peacock",10259,1996-07-18,1996-08-15,"Federal Shipping",21,"Sir Rodney's Scones",8,10,0,80,3.25,80
"34","Centro comercial Moctezuma","Sierras de Granada 9993","México D.F.","05022","Mexico","CENTC","Centro comercial Moctezuma","Sierras de Granada 9993","México D.F.","Mexico","Margaret Peacock",10259,1996-07-18,1996-08-15,"Federal Shipping",37,"Gravad lax",20.8,1,0,20.8,3.25,20.8
"35","Ottilies Käseladen","Mehrheimerstr. 369","Köln","50739","Germany","OTTIK","Ottilies Käseladen","Mehrheimerstr. 369","Köln","Germany","Margaret Peacock",10260,1996-07-19,1996-08-16,"Speedy Express",41,"Jack's New England Clam Chowder",7.7,16,0.25,92.4,55.09,123.2
"36","Ottilies Käseladen","Mehrheimerstr. 369","Köln","50739","Germany","OTTIK","Ottilies Käseladen","Mehrheimerstr. 369","Köln","Germany","Margaret Peacock",10260,1996-07-19,1996-08-16,"Speedy Express",57,"Ravioli Angelo",15.6,50,0,780,55.09,780
"37","Ottilies Käseladen","Mehrheimerstr. 369","Köln","50739","Germany","OTTIK","Ottilies Käseladen","Mehrheimerstr. 369","Köln","Germany","Margaret Peacock",10260,1996-07-19,1996-08-16,"Speedy Express",62,"Tarte au sucre",39.4,15,0.25,443.25,55.09,591
"38","Ottilies Käseladen","Mehrheimerstr. 369","Köln","50739","Germany","OTTIK","Ottilies Käseladen","Mehrheimerstr. 369","Köln","Germany","Margaret Peacock",10260,1996-07-19,1996-08-16,"Speedy Express",70,"Outback Lager",12,21,0.25,189,55.09,252
"39","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","02389-673","Brazil","QUEDE","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","Brazil","Margaret Peacock",10261,1996-07-19,1996-08-16,"United Package",21,"Sir Rodney's Scones",8,20,0,160,3.05,160
"40","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","02389-673","Brazil","QUEDE","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","Brazil","Margaret Peacock",10261,1996-07-19,1996-08-16,"United Package",35,"Steeleye Stout",14.4,20,0,288,3.05,288
"41","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","87110","USA","RATTC","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","USA","Laura Callahan",10262,1996-07-22,1996-08-19,"Federal Shipping",5,"Chef Anton's Gumbo Mix",17,12,0.200000002980232,163.2,48.29,204
"42","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","87110","USA","RATTC","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","USA","Laura Callahan",10262,1996-07-22,1996-08-19,"Federal Shipping",7,"Uncle Bob's Organic Dried Pears",24,15,0,360,48.29,360
"43","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","87110","USA","RATTC","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","USA","Laura Callahan",10262,1996-07-22,1996-08-19,"Federal Shipping",56,"Gnocchi di nonna Alice",30.4,2,0,60.8,48.29,60.8
"44","Ernst Handel","Kirchgasse 6","Graz","8010","Austria","ERNSH","Ernst Handel","Kirchgasse 6","Graz","Austria","Anne Dodsworth",10263,1996-07-23,1996-08-20,"Federal Shipping",16,"Pavlova",13.9,60,0.25,625.5,146.06,834
"45","Ernst Handel","Kirchgasse 6","Graz","8010","Austria","ERNSH","Ernst Handel","Kirchgasse 6","Graz","Austria","Anne Dodsworth",10263,1996-07-23,1996-08-20,"Federal Shipping",24,"Guaraná Fantástica",3.6,28,0,100.8,146.06,100.8
"46","Ernst Handel","Kirchgasse 6","Graz","8010","Austria","ERNSH","Ernst Handel","Kirchgasse 6","Graz","Austria","Anne Dodsworth",10263,1996-07-23,1996-08-20,"Federal Shipping",30,"Nord-Ost Matjeshering",20.7,60,0.25,931.5,146.06,1242
"47","Ernst Handel","Kirchgasse 6","Graz","8010","Austria","ERNSH","Ernst Handel","Kirchgasse 6","Graz","Austria","Anne Dodsworth",10263,1996-07-23,1996-08-20,"Federal Shipping",74,"Longlife Tofu",8,36,0.25,216,146.06,288
"48","Folk och fä HB","Åkergatan 24","Bräcke","S-844 67","Sweden","FOLKO","Folk och fä HB","Åkergatan 24","Bräcke","Sweden","Michael Suyama",10264,1996-07-24,1996-08-21,"Federal Shipping",2,"Chang",15.2,35,0,532,3.67,532
"49","Folk och fä HB","Åkergatan 24","Bräcke","S-844 67","Sweden","FOLKO","Folk och fä HB","Åkergatan 24","Bräcke","Sweden","Michael Suyama",10264,1996-07-24,1996-08-21,"Federal Shipping",41,"Jack's New England Clam Chowder",7.7,25,0.150000005960464,163.63,3.67,192.5
"50","Blondel père et fils","24, place Kléber","Strasbourg","67000","France","BLONP","Blondesddsl père et fils","24, place Kléber","Strasbourg","France","Andrew Fuller",10265,1996-07-25,1996-08-22,"Speedy Express",17,"Alice Mutton",31.2,30,0,936,55.28,936
"51","Blondel père et fils","24, place Kléber","Strasbourg","67000","France","BLONP","Blondesddsl père et fils","24, place Kléber","Strasbourg","France","Andrew Fuller",10265,1996-07-25,1996-08-22,"Speedy Express",70,"Outback Lager",12,20,0,240,55.28,240
"52","Wartian Herkku","Torikatu 38","Oulu","90110","Finland","WARTH","Wartian Herkku","Torikatu 38","Oulu","Finland","Janet Leverling",10266,1996-07-26,1996-09-06,"Federal Shipping",12,"Queso Manchego La Pastora",30.4,12,0.0500000007450581,346.56,25.73,364.8
"53","Frankenversand","Berliner Platz 43","München","80805","Germany","FRANK","Frankenversand","Berliner Platz 43","München","Germany","Margaret Peacock",10267,1996-07-29,1996-08-26,"Speedy Express",40,"Boston Crab Meat",14.7,50,0,735,208.58,735
"54","Frankenversand","Berliner Platz 43","München","80805","Germany","FRANK","Frankenversand","Berliner Platz 43","München","Germany","Margaret Peacock",10267,1996-07-29,1996-08-26,"Speedy Express",59,"Raclette Courdavault",44,70,0.150000005960464,2618,208.58,3080
"55","Frankenversand","Berliner Platz 43","München","80805","Germany","FRANK","Frankenversand","Berliner Platz 43","München","Germany","Margaret Peacock",10267,1996-07-29,1996-08-26,"Speedy Express",76,"Lakkalikööri",14.4,15,0.150000005960464,183.6,208.58,216
"56","GROSELLA-Restaurante","5ª Ave. Los Palos Grandes","Caracas","1081","Venezuela","GROSR","GROSELLA-Restaurante","5ª Ave. Los Palos Grandes","Caracas","Venezuela","Laura Callahan",10268,1996-07-30,1996-08-27,"Federal Shipping",29,"Thüringer Rostbratwurst",99,10,0,990,66.29,990
"57","GROSELLA-Restaurante","5ª Ave. Los Palos Grandes","Caracas","1081","Venezuela","GROSR","GROSELLA-Restaurante","5ª Ave. Los Palos Grandes","Caracas","Venezuela","Laura Callahan",10268,1996-07-30,1996-08-27,"Federal Shipping",72,"Mozzarella di Giovanni",27.8,4,0,111.2,66.29,111.2
"58","White Clover Markets","1029 - 12th Ave. S.","Seattle","98124","USA","WHITC","White Clover Markets","305 - 14th Ave. S. Suite 3B","Seattle","USA","Steven Buchanan",10269,1996-07-31,1996-08-14,"Speedy Express",33,"Geitost",2,60,0.0500000007450581,114,4.56,120
"59","White Clover Markets","1029 - 12th Ave. S.","Seattle","98124","USA","WHITC","White Clover Markets","305 - 14th Ave. S. Suite 3B","Seattle","USA","Steven Buchanan",10269,1996-07-31,1996-08-14,"Speedy Express",72,"Mozzarella di Giovanni",27.8,20,0.0500000007450581,528.2,4.56,556
"60","Wartian Herkku","Torikatu 38","Oulu","90110","Finland","WARTH","Wartian Herkku","Torikatu 38","Oulu","Finland","Nancy Davolio",10270,1996-08-01,1996-08-29,"Speedy Express",36,"Inlagd Sill",15.2,30,0,456,136.54,456
"61","Wartian Herkku","Torikatu 38","Oulu","90110","Finland","WARTH","Wartian Herkku","Torikatu 38","Oulu","Finland","Nancy Davolio",10270,1996-08-01,1996-08-29,"Speedy Express",43,"Ipoh Coffee",36.8,25,0,920,136.54,920
"62","Split Rail Beer & Ale","P.O. Box 555","Lander","82520","USA","SPLIR","Split Rail Beer & Ale","P.O. Box 555","Lander","USA","Michael Suyama",10271,1996-08-01,1996-08-29,"United Package",33,"Geitost",2,24,0,48,4.54,48
"63","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","87110","USA","RATTC","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","USA","Michael Suyama",10272,1996-08-02,1996-08-30,"United Package",20,"Sir Rodney's Marmalade",64.8,6,0,388.8,98.03,388.8
"64","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","87110","USA","RATTC","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","USA","Michael Suyama",10272,1996-08-02,1996-08-30,"United Package",31,"Gorgonzola Telino",10,40,0,400,98.03,400
"65","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","87110","USA","RATTC","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","USA","Michael Suyama",10272,1996-08-02,1996-08-30,"United Package",72,"Mozzarella di Giovanni",27.8,24,0,667.2,98.03,667.2
"66","QUICK-Stop","Taucherstraße 10","Cunewalde","01307","Germany","QUICK","QUICK-Stop","Taucherstraße 10","Cunewalde","Germany","Janet Leverling",10273,1996-08-05,1996-09-02,"Federal Shipping",10,"Ikura",24.8,24,0.0500000007450581,565.44,76.07,595.2
"67","QUICK-Stop","Taucherstraße 10","Cunewalde","01307","Germany","QUICK","QUICK-Stop","Taucherstraße 10","Cunewalde","Germany","Janet Leverling",10273,1996-08-05,1996-09-02,"Federal Shipping",31,"Gorgonzola Telino",10,15,0.0500000007450581,142.5,76.07,150
"68","QUICK-Stop","Taucherstraße 10","Cunewalde","01307","Germany","QUICK","QUICK-Stop","Taucherstraße 10","Cunewalde","Germany","Janet Leverling",10273,1996-08-05,1996-09-02,"Federal Shipping",33,"Geitost",2,20,0,40,76.07,40
"69","QUICK-Stop","Taucherstraße 10","Cunewalde","01307","Germany","QUICK","QUICK-Stop","Taucherstraße 10","Cunewalde","Germany","Janet Leverling",10273,1996-08-05,1996-09-02,"Federal Shipping",40,"Boston Crab Meat",14.7,60,0.0500000007450581,837.9,76.07,882
"70","QUICK-Stop","Taucherstraße 10","Cunewalde","01307","Germany","QUICK","QUICK-Stop","Taucherstraße 10","Cunewalde","Germany","Janet Leverling",10273,1996-08-05,1996-09-02,"Federal Shipping",76,"Lakkalikööri",14.4,33,0.0500000007450581,451.44,76.07,475.2
"71","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","51100","France","VINET","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","France","Michael Suyama",10274,1996-08-06,1996-09-03,"Speedy Express",71,"Flotemysost",17.2,20,0,344,6.01,344
"72","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","51100","France","VINET","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims","France","Michael Suyama",10274,1996-08-06,1996-09-03,"Speedy Express",72,"Mozzarella di Giovanni",27.8,7,0,194.6,6.01,194.6
"73","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","24100","Italy","MAGAA","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","Italy","Nancy Davolio",10275,1996-08-07,1996-09-04,"Speedy Express",24,"Guaraná Fantástica",3.6,12,0.0500000007450581,41.04,26.93,43.2
"74","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","24100","Italy","MAGAA","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo","Italy","Nancy Davolio",10275,1996-08-07,1996-09-04,"Speedy Express",59,"Raclette Courdavault",44,6,0.0500000007450581,250.8,26.93,264
"75","Tortuga Restaurante","Avda. Azteca 123","México D.F.","05033","Mexico","TORTU","Tortuga Restaurante","Avda. Azteca 123","México D.F.","Mexico","Laura Callahan",10276,1996-08-08,1996-08-22,"Federal Shipping",10,"Ikura",24.8,15,0,372,13.84,372
"76","Tortuga Restaurante","Avda. Azteca 123","México D.F.","05033","Mexico","TORTU","Tortuga Restaurante","Avda. Azteca 123","México D.F.","Mexico","Laura Callahan",10276,1996-08-08,1996-08-22,"Federal Shipping",13,"Konbu",4.8,10,0,48,13.84,48
"77","Morgenstern Gesundkost","Heerstr. 22","Leipzig","04179","Germany","MORGK","Morgenstern Gesundkost","Heerstr. 22","Leipzig","Germany","Andrew Fuller",10277,1996-08-09,1996-09-06,"Federal Shipping",28,"Rössle Sauerkraut",36.4,20,0,728,125.77,728
"78","Morgenstern Gesundkost","Heerstr. 22","Leipzig","04179","Germany","MORGK","Morgenstern Gesundkost","Heerstr. 22","Leipzig","Germany","Andrew Fuller",10277,1996-08-09,1996-09-06,"Federal Shipping",62,"Tarte au sucre",39.4,12,0,472.8,125.77,472.8
"79","Berglunds snabbköp","Berguvsvägen  8","Luleå","S-958 22","Sweden","BERGS","Berglunds snabbköp","Berguvsvägen  8","Luleå","Sweden","Laura Callahan",10278,1996-08-12,1996-09-09,"United Package",44,"Gula Malacca",15.5,16,0,248,92.69,248
"80","Berglunds snabbköp","Berguvsvägen  8","Luleå","S-958 22","Sweden","BERGS","Berglunds snabbköp","Berguvsvägen  8","Luleå","Sweden","Laura Callahan",10278,1996-08-12,1996-09-09,"United Package",59,"Raclette Courdavault",44,15,0,660,92.69,660
"81","Berglunds snabbköp","Berguvsvägen  8","Luleå","S-958 22","Sweden","BERGS","Berglunds snabbköp","Berguvsvägen  8","Luleå","Sweden","Laura Callahan",10278,1996-08-12,1996-09-09,"United Package",63,"Vegie-spread",35.1,8,0,280.8,92.69,280.8
"82","Berglunds snabbköp","Berguvsvägen  8","Luleå","S-958 22","Sweden","BERGS","Berglunds snabbköp","Berguvsvägen  8","Luleå","Sweden","Laura Callahan",10278,1996-08-12,1996-09-09,"United Package",73,"Röd Kaviar",12,25,0,300,92.69,300
"83","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","60528","Germany","LEHMS","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.","Germany","Laura Callahan",10279,1996-08-13,1996-09-10,"United Package",17,"Alice Mutton",31.2,15,0.25,351,25.83,468
"84","Berglunds snabbköp","Berguvsvägen  8","Luleå","S-958 22","Sweden","BERGS","Berglunds snabbköp","Berguvsvägen  8","Luleå","Sweden","Andrew Fuller",10280,1996-08-14,1996-09-11,"Speedy Express",24,"Guaraná Fantástica",3.6,12,0,43.2,8.98,43.2
"85","Berglunds snabbköp","Berguvsvägen  8","Luleå","S-958 22","Sweden","BERGS","Berglunds snabbköp","Berguvsvägen  8","Luleå","Sweden","Andrew Fuller",10280,1996-08-14,1996-09-11,"Speedy Express",55,"Pâté chinois",19.2,20,0,384,8.98,384
"86","Berglunds snabbköp","Berguvsvägen  8","Luleå","S-958 22","Sweden","BERGS","Berglunds snabbköp","Berguvsvägen  8","Luleå","Sweden","Andrew Fuller",10280,1996-08-14,1996-09-11,"Speedy Express",75,"Rhönbräu Klosterbier",6.2,30,0,186,8.98,186
"87","Romero y tomillo","Gran Vía, 1","Madrid","28001","Spain","ROMEY","Romero y tomillo","Gran Vía, 1","Madrid","Spain","Margaret Peacock",10281,1996-08-14,1996-08-28,"Speedy Express",19,"Teatime Chocolate Biscuits",7.3,1,0,7.3,2.94,7.3
"88","Romero y tomillo","Gran Vía, 1","Madrid","28001","Spain","ROMEY","Romero y tomillo","Gran Vía, 1","Madrid","Spain","Margaret Peacock",10281,1996-08-14,1996-08-28,"Speedy Express",24,"Guaraná Fantástica",3.6,6,0,21.6,2.94,21.6
"89","Romero y tomillo","Gran Vía, 1","Madrid","28001","Spain","ROMEY","Romero y tomillo","Gran Vía, 1","Madrid","Spain","Margaret Peacock",10281,1996-08-14,1996-08-28,"Speedy Express",35,"Steeleye Stout",14.4,4,0,57.6,2.94,57.6
"90","Romero y tomillo","Gran Vía, 1","Madrid","28001","Spain","ROMEY","Romero y tomillo","Gran Vía, 1","Madrid","Spain","Margaret Peacock",10282,1996-08-15,1996-09-12,"Speedy Express",30,"Nord-Ost Matjeshering",20.7,6,0,124.2,12.69,124.2
"91","Romero y tomillo","Gran Vía, 1","Madrid","28001","Spain","ROMEY","Romero y tomillo","Gran Vía, 1","Madrid","Spain","Margaret Peacock",10282,1996-08-15,1996-09-12,"Speedy Express",57,"Ravioli Angelo",15.6,2,0,31.2,12.69,31.2
"92","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","3508","Venezuela","LILAS","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Venezuela","Janet Leverling",10283,1996-08-16,1996-09-13,"Federal Shipping",15,"Genen Shouyu",12.4,20,0,248,84.81,248
"93","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","3508","Venezuela","LILAS","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Venezuela","Janet Leverling",10283,1996-08-16,1996-09-13,"Federal Shipping",19,"Teatime Chocolate Biscuits",7.3,18,0,131.4,84.81,131.4
"94","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","3508","Venezuela","LILAS","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Venezuela","Janet Leverling",10283,1996-08-16,1996-09-13,"Federal Shipping",60,"Camembert Pierrot",27.2,35,0,952,84.81,952
"95","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","3508","Venezuela","LILAS","LILA-Supermercado","Carrera 52 con Ave. Bolívar #65-98 Llano Largo","Barquisimeto","Venezuela","Janet Leverling",10283,1996-08-16,1996-09-13,"Federal Shipping",72,"Mozzarella di Giovanni",27.8,3,0,83.4,84.81,83.4
